epoch,train_loss,val_loss,val_acc,activation,init,bound,act_mean,act_std,frac_zero,grad_norm
3,13.4088785,3.253229017,0.1013,tanh,naive_uniform,1,0.123264813,0.894544608,0,37.4534764
17,10.33158165,2.704911348,0.1015,tanh,naive_uniform,1,0.125417662,0.880370922,0,4.600549862
21,9.620300104,2.637614432,0.1015,tanh,naive_uniform,1,0.139174559,0.878600025,0,1.600663376
29,8.03563244,2.742392283,0.1023,tanh,naive_uniform,1,0.140774703,0.883020146,0,0.811559314
28,8.249528711,2.674040009,0.1024,tanh,naive_uniform,1,0.14242234,0.882743869,0,0.757465925
35,6.962097093,2.710765576,0.1024,tanh,naive_uniform,1,0.145806029,0.880465498,0,0.696718568
36,6.817555237,2.500363667,0.1024,tanh,naive_uniform,1,0.145170675,0.885219173,0,0.546633843
44,5.485915817,2.682339647,0.1024,tanh,naive_uniform,1,0.127897545,0.895627605,0,0.592131624
48,4.873659695,2.548972612,0.1024,tanh,naive_uniform,1,0.10751582,0.899375618,0,0.582745282
12,11.28175693,2.786325214,0.1025,tanh,naive_uniform,1,0.126650607,0.885632041,0,7.324923145
32,7.545325887,2.755823843,0.1025,tanh,naive_uniform,1,0.147326664,0.881185595,0,0.72484626
33,7.307461313,2.57970836,0.1025,tanh,naive_uniform,1,0.150146672,0.879866246,0,0.554814899
39,6.277396767,2.654676001,0.1025,tanh,naive_uniform,1,0.140648895,0.888650219,0,0.571147843
49,4.729834443,2.632454432,0.1025,tanh,naive_uniform,1,0.107976141,0.898669362,0,0.687988181
11,11.5619995,3.07149768,0.1026,tanh,naive_uniform,1,0.119466551,0.885662662,0,11.61773189
9,11.93450397,2.650010727,0.1027,tanh,naive_uniform,1,0.131718936,0.885899087,0,5.258201831
14,10.98108865,2.49767452,0.103,tanh,naive_uniform,1,0.123032476,0.885002136,0,2.824711111
7,12.31977087,3.89637879,0.1035,tanh,naive_uniform,1,0.140554254,0.888966163,0,12.37381965
37,6.59598057,2.535625184,0.1035,tanh,naive_uniform,1,0.142212336,0.885742068,0,0.575222872
23,9.18987635,2.752571525,0.1047,tanh,naive_uniform,1,0.117999591,0.885177503,0,2.808586403
1,20.38291927,8.481218805,0.1066,tanh,naive_uniform,1,0.087120171,0.917982366,0,249.6949919
5,12.78467102,2.984140454,0.1084,tanh,naive_uniform,1,0.13728119,0.890371813,0,18.50257229
27,8.407317136,2.748328074,0.1108,tanh,naive_uniform,1,0.138747394,0.884390076,0,1.350185644
2,14.24148974,4.714795726,0.1132,tanh,naive_uniform,1,0.110561744,0.901460972,0,56.64664749
1,2.253876103,2.039152391,0.2557,tanh,naive_uniform,0.005,-0.004246648,0.047365379,0,1.264791608
2,1.774591424,1.60216956,0.4246,tanh,naive_uniform,0.005,-0.012675156,0.075878079,0,0.799441746
3,1.492788965,1.389754777,0.5022,tanh,naive_uniform,0.005,-0.024195375,0.070324036,0,0.882976277
4,1.349045487,1.255242809,0.5564,tanh,naive_uniform,0.005,-0.034406988,0.086060211,5.30E-08,0.800081138
5,1.196209884,1.155222078,0.5876,tanh,naive_uniform,0.005,-0.037594739,0.088594637,0,0.914693679
6,1.108662517,1.066852573,0.626,tanh,naive_uniform,0.005,-0.043857932,0.094531185,0,0.826901005
7,1.015622541,1.009147895,0.6476,tanh,naive_uniform,0.005,-0.045691913,0.099683017,0,1.070885383
8,0.95296761,0.980620292,0.6615,tanh,naive_uniform,0.005,-0.053081391,0.105522812,0,0.932926716
9,0.909051226,0.965279354,0.6655,tanh,naive_uniform,0.005,-0.057187037,0.119396046,0,1.284753981
10,0.854997966,0.936122878,0.6771,tanh,naive_uniform,0.005,-0.060142857,0.119361812,5.30E-08,0.950446175
16,0.678195735,0.958974709,0.6881,tanh,naive_uniform,0.005,-0.067918732,0.146309633,5.30E-08,1.214943713
13,0.752261468,0.933108456,0.6911,tanh,naive_uniform,0.005,-0.061992228,0.140023115,0,1.39935692
11,0.817104911,0.890503508,0.6923,tanh,naive_uniform,0.005,-0.057633691,0.120693019,7.95E-08,0.799789814
12,0.798263865,0.866243898,0.697,tanh,naive_uniform,0.005,-0.062880127,0.121545238,0,1.023032257
15,0.698117946,0.875850312,0.7006,tanh,naive_uniform,0.005,-0.062086856,0.147569161,0,1.286316533
22,0.554978426,0.949962295,0.7021,tanh,naive_uniform,0.005,-0.074297867,0.180336728,0,1.366088309
32,0.403993598,1.028609405,0.7059,tanh,naive_uniform,0.005,-0.081038281,0.225495714,0,0.90661929
14,0.717586038,0.880774186,0.7074,tanh,naive_uniform,0.005,-0.066238654,0.136954052,0,1.318681632
25,0.500507432,0.948827974,0.7109,tanh,naive_uniform,0.005,-0.076404635,0.195083296,0,1.419917089
17,0.653243003,0.873995891,0.7129,tanh,naive_uniform,0.005,-0.069267575,0.150491111,0,1.122227732
21,0.579278249,0.900109783,0.7152,tanh,naive_uniform,0.005,-0.074576372,0.169876554,1.06E-07,1.187986326
18,0.633517105,0.87978496,0.7158,tanh,naive_uniform,0.005,-0.071107152,0.157232223,0,0.742180662
39,0.338816928,1.068216872,0.7171,tanh,naive_uniform,0.005,-0.087617554,0.244347044,0,1.299727099
42,0.316815055,1.043452939,0.7183,tanh,naive_uniform,0.005,-0.084725298,0.255183803,0,1.480351983
19,0.610573992,0.870948353,0.7187,tanh,naive_uniform,0.005,-0.070084063,0.165309941,2.65E-08,0.965273251
29,0.444873163,0.929928459,0.7188,tanh,naive_uniform,0.005,-0.078293656,0.213866144,0,1.044935001
36,0.367259629,1.011645416,0.719,tanh,naive_uniform,0.005,-0.082776979,0.239199116,2.65E-08,1.569476086
20,0.590390429,0.871342167,0.7192,tanh,naive_uniform,0.005,-0.0734615,0.167141806,0,0.876003708
33,0.406744962,0.99499529,0.7199,tanh,naive_uniform,0.005,-0.084672109,0.227380536,0,1.071005146
34,0.387963528,0.9874432,0.7203,tanh,naive_uniform,0.005,-0.086381779,0.230395992,0,1.012407998
27,0.470089857,0.925027509,0.7204,tanh,naive_uniform,0.005,-0.081466515,0.203311766,0,1.586594369
38,0.344974015,1.028260158,0.7204,tanh,naive_uniform,0.005,-0.08404317,0.246095597,0,1.349172106
24,0.516406689,0.897275395,0.7213,tanh,naive_uniform,0.005,-0.076517295,0.187313718,0,2.022596521
35,0.37107071,0.977205506,0.7226,tanh,naive_uniform,0.005,-0.085051071,0.233131992,0,1.092262749
30,0.442048256,0.940575108,0.7239,tanh,naive_uniform,0.005,-0.081222645,0.220333017,0,1.340105634
28,0.459322798,0.914859958,0.7245,tanh,naive_uniform,0.005,-0.07880625,0.203917094,0,1.111164572
26,0.492376998,0.909531819,0.7247,tanh,naive_uniform,0.005,-0.077754014,0.197697263,0,1.176208927
44,0.323296051,1.061085688,0.7247,tanh,naive_uniform,0.005,-0.08896498,0.259857318,5.30E-08,1.835065987
43,0.347751136,1.060822146,0.7252,tanh,naive_uniform,0.005,-0.090132086,0.255024495,0,1.202160791
